"filename", "language", "Java", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\SpringBootWeb01Application.java", "Java", 9, 0, 5, 14
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\controller\UserController.java", "Java", 34, 2, 6, 42
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\pojo\User.java", "Java", 16, 0, 4, 20
"Total", "-", 59, 2, 15, 76
