"filename", "language", "HTML", "JavaScript", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb02\src\main\resources\static\js\vue.esm-browser.js", "JavaScript", 0, 16322, 297, 123, 16742
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb02\src\main\resources\static\user.html", "HTML", 78, 0, 2, 1, 81
"Total", "-", 78, 16322, 299, 124, 16823
