"filename", "language", "XML", "HTML", "Java Properties", "Java", "JavaScript", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\pom.xml", "XML", 81, 0, 0, 0, 0, 0, 4, 85
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\SpringBootWeb01Application.java", "Java", 0, 0, 0, 9, 0, 0, 5, 14
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\controller\UserController.java", "Java", 0, 0, 0, 34, 0, 2, 6, 42
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\pojo\User.java", "Java", 0, 0, 0, 16, 0, 0, 4, 20
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\application.properties", "Java Properties", 0, 0, 1, 0, 0, 0, 1, 2
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\static\js\vue.esm-browser.js", "JavaScript", 0, 0, 0, 0, 16322, 297, 123, 16742
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\static\user.html", "HTML", 0, 78, 0, 0, 0, 2, 1, 81
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\test\java\com\itheima\SpringBootWeb01ApplicationTests.java", "Java", 0, 0, 0, 9, 0, 0, 5, 14
"Total", "-", 81, 78, 1, 68, 16322, 301, 149, 17000
