"filename", "language", "JavaScript", "Java", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb02\src\main\resources\static\js\vue.esm-browser.js", "JavaScript", 16322, 0, 297, 123, 16742
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb02\src\test\java\com\itheima\SpringBootWeb02ApplicationTests.java", "Java", 0, -9, 0, -5, -14
"Total", "-", 16322, -9, 297, 118, 16728
