"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb02\src\main\resources\static\js\vue.esm-browser.js", "JavaScript", 16322, 297, 123, 16742
"Total", "-", 16322, 297, 123, 16742
