"filename", "language", "JavaScript", "Java", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\SpringBootWeb01Application.java", "Java", 0, -9, 0, -5, -14
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\controller\UserController.java", "Java", 0, -34, -2, -6, -42
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\pojo\User.java", "Java", 0, -16, 0, -4, -20
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\static\js\vue.esm-browser.js", "JavaScript", 16322, 0, 297, 123, 16742
"Total", "-", 16322, -59, 295, 108, 16666
