"filename", "language", "HTML", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\pages\books.html", "HTML", 120, 4, 20, 144
"Total", "-", 120, 4, 20, 144
