"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\js\axios-0.18.0.js", "JavaScript", 7, 2, 8, 17
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\js\index.js", "JavaScript", 1, 0, 0, 1
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\js\jquery.min.js", "JavaScript", 3, 1, 1, 5
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\js\vue.js", "JavaScript", 9183, 1632, 11078, 21893
"Total", "-", 9194, 1635, 11087, 21916
