"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\js\axios-0.18.0.js", "JavaScript", 7, 0, 2, 8, 17
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\js\index.js", "JavaScript", 1, 0, 0, 0, 1
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\js\jquery.min.js", "JavaScript", 3, 0, 1, 1, 5
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\js\vue.js", "JavaScript", 9183, 0, 1632, 11078, 21893
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\pages\books.html", "HTML", 0, -120, -4, -20, -144
"Total", "-", 9194, -120, 1631, 11067, 21772
