"filename", "language", "Java", "Java Properties", "HTML", "JavaScript", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\application.properties", "Java Properties", 0, -1, 0, 0, 0, -1, -2
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\static\js\vue.esm-browser.js", "JavaScript", 0, 0, 0, -16322, -297, -123, -16742
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\static\user.html", "HTML", 0, 0, -78, 0, -2, -1, -81
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb02\src\test\java\com\itheima\SpringBootWeb02ApplicationTests.java", "Java", 9, 0, 0, 0, 0, 5, 14
"Total", "-", 9, -1, -78, -16322, -299, -120, -16811
