"filename", "language", "Java Properties", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb02\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 2, 0, 1, 3
"Total", "-", 2, 0, 1, 3
