"filename", "language", "Java Properties", "JavaScript", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\static\js\vue.esm-browser.js", "JavaScript", 0, -16322, -297, -123, -16742
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb02\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 2, 0, 0, 1, 3
"Total", "-", 2, -16322, -297, -122, -16739
