"filename", "language", "Java Properties", "HTML", "JavaScript", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\application.properties", "Java Properties", 1, 0, 0, 0, 1, 2
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\static\js\vue.esm-browser.js", "JavaScript", 0, 0, 16322, 297, 123, 16742
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\resources\static\user.html", "HTML", 0, 78, 0, 2, 1, 81
"Total", "-", 1, 78, 16322, 299, 125, 16825
