"filename", "language", "XML", "Java", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\pom.xml", "XML", -81, 0, 0, -4, -85
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\SpringBootWeb01Application.java", "Java", 0, -9, 0, -5, -14
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\controller\UserController.java", "Java", 0, -34, -2, -6, -42
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\main\java\com\itheima\pojo\User.java", "Java", 0, -16, 0, -4, -20
"d:\ComputerScienceLearning\JavaLearningForWork\JavaWeb_LearningProject\SpringBootWeb01\src\test\java\com\itheima\SpringBootWeb01ApplicationTests.java", "Java", 0, -9, 0, -5, -14
"Total", "-", -81, -68, -2, -24, -175
