"filename", "language", "PostCSS", "JavaScript", "XML", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\plugins\elementui\index.css", "PostCSS", 1, 0, 0, 0, 0, 1
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\plugins\elementui\index.js", "JavaScript", 0, 3, 0, 36, 0, 39
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\plugins\font-awesome\css\font-awesome.css", "PostCSS", 2327, 0, 0, 15, 2333, 4675
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\plugins\font-awesome\css\font-awesome.min.css", "PostCSS", 1, 0, 0, 6, 2, 9
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\src\main\webapp\plugins\font-awesome\fonts\fontawesome-webfont.svg", "XML", 0, 0, 2671, 0, 1, 2672
"Total", "-", 2329, 3, 2671, 57, 2336, 7396
